run_index,denoise_strength,blend_alpha,region_attn_scale,guidance_scale,num_inference_steps,csim,id_retrieval_top1,expression_error
15,0.25,0.65,1.2,1.0,20,0.0315298047335818,0.01,0.225728297829628
16,0.25,0.75,0.8,1.0,20,0.0308648412628099,0.02,0.2625722510367632
24,0.3,0.65,1.2,1.0,20,0.0283007954806089,0.02,0.2380010395497083
12,0.25,0.55,1.2,1.0,20,0.0272892695059999,0.01,0.186124685332179
5,0.2,0.65,1.0,1.0,20,0.0265850345324724,0.0,0.2006092810630798
18,0.25,0.75,1.2,1.0,20,0.0260198231600224,0.01,0.2754040841013193
17,0.25,0.75,1.0,1.0,20,0.0259458570601418,0.01,0.2880734813958406
21,0.3,0.55,1.2,1.0,20,0.0259038031846284,0.01,0.2012446434050798
20,0.3,0.55,1.0,1.0,20,0.0250274173170328,0.01,0.2058508779853582
6,0.2,0.65,1.2,1.0,20,0.0240241263806819,0.0,0.1950905393064022
9,0.2,0.75,1.2,1.0,20,0.0239285458577796,0.02,0.2406439647823572
13,0.25,0.65,0.8,1.0,20,0.0228249030001461,0.01,0.2266278810799122
3,0.2,0.55,1.2,1.0,20,0.0227092614769935,0.0,0.1697421461716294
19,0.3,0.55,0.8,1.0,20,0.0224305517668835,0.0,0.2047853519767523
11,0.25,0.55,1.0,1.0,20,0.0220128129934892,0.02,0.185624204352498
7,0.2,0.75,0.8,1.0,20,0.0212876616325229,0.01,0.2311290975660085
22,0.3,0.65,0.8,1.0,20,0.0211513188621029,0.01,0.2884539525955915
2,0.2,0.55,1.0,1.0,20,0.0210862792469561,0.0,0.1622680136561393
23,0.3,0.65,1.0,1.0,20,0.0208756651217117,0.02,0.2423000266402959
8,0.2,0.75,1.0,1.0,20,0.0202085493830963,0.0,0.2275978701561689
4,0.2,0.65,0.8,1.0,20,0.0193837011931464,0.0,0.2393958999216556
27,0.3,0.75,1.2,1.0,20,0.0185226555168628,0.01,0.3002413882315158
1,0.2,0.55,0.8,1.0,20,0.0184477749420329,0.01,0.1666496880352497
10,0.25,0.55,0.8,1.0,20,0.018191050584428,0.01,0.180105031505227
26,0.3,0.75,1.0,1.0,20,0.0179031206388026,0.02,0.2900262758135795
14,0.25,0.65,1.0,1.0,20,0.0177524843206629,0.01,0.2545872350037098
25,0.3,0.75,0.8,1.0,20,0.0132092738058418,0.02,0.2864064438641071
