run_index,checkpoint,denoise_strength,blend_alpha,region_attn_scale,guidance_scale,num_inference_steps,csim,id_retrieval_top1,expression_error
3,checkpoint-10000,0.2,0.55,1.2,1.0,20,0.020832851543091238,0.0,0.26163983941078184
17,checkpoint-10000,0.25,0.75,1.0,1.0,20,0.018731031869538128,0.02,0.5591223464906215
22,checkpoint-10000,0.3,0.65,0.8,1.0,20,0.017656105859205126,0.0,0.9774320457875728
1,checkpoint-10000,0.2,0.55,0.8,1.0,20,0.017476347275078297,0.0,0.29165836282074453
6,checkpoint-10000,0.2,0.65,1.2,1.0,20,0.01744824473746121,0.0,0.3594232201576233
7,checkpoint-10000,0.2,0.75,0.8,1.0,20,0.017299856683239342,0.02,0.39207239121198656
10,checkpoint-10000,0.25,0.55,0.8,1.0,20,0.01661369002889842,0.0,0.3742449410259724
21,checkpoint-10000,0.3,0.55,1.2,1.0,20,0.016504840939305723,0.01,0.5345915165543557
4,checkpoint-10000,0.2,0.65,0.8,1.0,20,0.01628343205899,0.01,0.35006370939314363
19,checkpoint-10000,0.3,0.55,0.8,1.0,20,0.015267197254579513,0.0,0.5608966021239757
9,checkpoint-10000,0.2,0.75,1.2,1.0,20,0.01502014476340264,0.0,0.37399638190865514
20,checkpoint-10000,0.3,0.55,1.0,1.0,20,0.014868751671165227,0.0,0.5635717639327049
2,checkpoint-10000,0.2,0.55,1.0,1.0,20,0.013545061792246998,0.0,0.28994782760739324
5,checkpoint-10000,0.2,0.65,1.0,1.0,20,0.013413600153289735,0.0,0.30067755326628687
8,checkpoint-10000,0.2,0.75,1.0,1.0,20,0.01267030973918736,0.01,0.37504515968263147
13,checkpoint-10000,0.25,0.65,0.8,1.0,20,0.01169627600349486,0.01,0.5001729430258274
18,checkpoint-10000,0.25,0.75,1.2,1.0,20,0.011001415946520866,0.01,0.584887252599001
23,checkpoint-10000,0.3,0.65,1.0,1.0,20,0.010293806623667478,0.02,1.0566477161645889
12,checkpoint-10000,0.25,0.55,1.2,1.0,20,0.010212716753594578,0.01,0.4400007127225399
14,checkpoint-10000,0.25,0.65,1.0,1.0,20,0.00998867257963866,0.0,0.5336363446712494
16,checkpoint-10000,0.25,0.75,0.8,1.0,20,0.009980820873752237,0.0,0.5602837316691875
26,checkpoint-10000,0.3,0.75,1.0,1.0,20,0.008704914348199963,0.02,1.3141643592715264
11,checkpoint-10000,0.25,0.55,1.0,1.0,20,0.00817969873547554,0.0,0.40267633616924287
25,checkpoint-10000,0.3,0.75,0.8,1.0,20,0.006668946440331638,0.01,1.7462712478637696
15,checkpoint-10000,0.25,0.65,1.2,1.0,20,0.006614025472663343,0.02,0.4862097418308258
24,checkpoint-10000,0.3,0.65,1.2,1.0,20,0.006545594111084938,0.0,0.9428089100122452
27,checkpoint-10000,0.3,0.75,1.2,1.0,20,0.005771009353920818,0.01,1.7840620791912079
